date,order_id,symbol,side,filled_qty,fill_price,signed_notional,status
2026-01-30,ORD00000001,GLD,buy,39.967766999999995,111.2652949919677,4447.025385425231,filled
2026-01-30,ORD00000002,UUP,buy,962.195018,99.32807038201605,95572.9744691292,filled
2026-02-02,ORD00000003,UUP,sell,36.121553,99.80470670246865,-3605.1010028026762,filled
2026-02-02,ORD00000004,GLD,buy,33.607794,106.7174911378164,3586.539458356559,filled
2026-02-03,ORD00000005,GLD,sell,5.45634714197495,113.25103238568285,-617.9369468833331,partial
2026-02-04,ORD00000007,GLD,sell,13.40334055242599,113.17122871952142,-1516.8725192642382,partial
2026-02-04,ORD00000008,UUP,sell,345.832835,99.87777105970218,-34541.01271905776,filled
2026-02-04,ORD00000009,SPY,buy,365.438726,100.59918309418794,36762.837306580775,filled
2026-02-04,ORD00000010,XLE,buy,35.874797,117.79570384571774,4225.896962937243,filled
2026-02-05,ORD00000011,GLD,sell,40.617003,110.11642546843275,-4472.599183600609,filled
2026-02-05,ORD00000012,UUP,sell,277.26055099999996,100.17315838679073,-27774.065089731866,filled
2026-02-05,ORD00000013,XLE,sell,12.174239,116.35854685774278,-1416.5767591388596,filled
2026-02-06,ORD00000015,GLD,sell,14.09887,113.44959623549373,-1599.5111088767155,filled
2026-02-06,ORD00000016,SPY,sell,56.796378,101.18204974976298,-5746.773944402344,filled
2026-02-06,ORD00000017,UUP,sell,57.907469,99.87689745517457,-5783.618343201701,filled
2026-02-06,ORD00000018,XLE,sell,23.700557999999997,118.6535768563495,-2812.1559801913686,filled
2026-02-09,ORD00000020,UUP,sell,27.951508150109724,99.0600595055378,-2768.878060619394,partial
2026-02-09,ORD00000021,SPY,buy,11.427277898116545,101.70943044178902,1162.2619265174778,partial
2026-02-10,ORD00000023,SPY,sell,320.069625,101.40028977363447,-32455.152722738516,filled
2026-02-10,ORD00000024,GLD,buy,60.594961,115.18293852542473,6979.505667813509,filled
2026-02-11,ORD00000027,SPY,buy,96.30600899999999,101.41740878276713,9767.105882989848,filled
2026-02-11,ORD00000028,TLT,buy,183.260943,101.00719589904075,18510.67397024394,filled
2026-02-11,ORD00000029,UUP,buy,456.705133,99.24758397148999,45326.881037628,filled
2026-02-11,ORD00000030,XLE,buy,29.683734821116083,122.51404081726497,3636.674299483085,partial
2026-02-12,ORD00000031,SPY,sell,68.45549101184461,99.79846819544942,-6831.753142549448,partial
2026-02-12,ORD00000032,TLT,sell,183.260943,102.29946112359521,-18747.4957139019,filled
2026-02-12,ORD00000034,GLD,buy,28.863607,112.36140620925889,3243.1554707914083,filled
2026-02-13,ORD00000036,GLD,sell,77.45843599999999,115.07656114996836,-8913.65044693491,filled
2026-02-13,ORD00000037,UUP,sell,159.4022433701942,99.17090950605379,-15808.065452327493,partial
2026-02-13,ORD00000038,XLE,sell,17.93332405289176,121.03829129458157,-2170.6189005940387,partial
2026-02-13,ORD00000039,SPY,buy,21.506505357926528,99.9087106526309,2148.6872209543376,partial
2026-02-17,ORD00000041,GLD,sell,4.186299,111.43250267332671,-466.4897745088449,filled
2026-02-17,ORD00000042,XLE,sell,11.750409999999999,119.69465615598519,-1406.4612846418497,filled
2026-02-17,ORD00000043,SPY,buy,276.259463,100.06977941037138,27645.223522437653,filled
2026-02-17,ORD00000044,TLT,buy,88.633985,103.07273835907284,9135.747545626986,filled
2026-02-17,ORD00000045,UUP,buy,73.463672,99.54294989648746,7312.790621107989,filled
2026-02-18,ORD00000046,SPY,sell,325.616487,100.5324156430201,-32735.012011304054,filled
2026-02-18,ORD00000047,TLT,sell,88.633984,102.64098298265526,-9097.479243428937,filled
2026-02-18,ORD00000048,GLD,buy,48.443418,113.95641965290743,5520.43847102921,filled
2026-02-19,ORD00000050,GLD,sell,29.60088,114.22856140465886,-3381.2659387119384,filled
2026-02-19,ORD00000051,UUP,sell,213.69366599999998,100.27755674540363,-21428.67871844833,filled
2026-02-20,ORD00000053,GLD,sell,26.656371,116.45861011619401,-3104.3639174016207,filled
2026-02-20,ORD00000055,SPY,buy,240.206257,101.0298280879288,24267.996850354844,filled
2026-02-23,ORD00000057,UUP,sell,126.70177299999999,100.16656515163794,-12691.28140003254,filled
2026-02-23,ORD00000058,SPY,buy,298.41621,99.99287864020525,29839.4958708,filled
2026-02-24,ORD00000060,SPY,sell,9.083002016738096,100.67677081268971,-914.4473123303397,partial
2026-02-24,ORD00000061,GLD,buy,16.604216,117.94161488735422,1958.3280489784452,filled
2026-02-25,ORD00000064,GLD,buy,48.915982,117.64553290903095,5754.746770158566,filled
2026-02-26,ORD00000066,GLD,sell,31.608477999999998,118.60269595601413,-3748.8507058663613,filled
2026-02-26,ORD00000067,SPY,sell,529.539465,100.9572744746499,-53460.86111316426,filled
2026-02-26,ORD00000068,TLT,buy,464.6071664061505,103.52872062206681,48100.18552987246,partial
2026-02-27,ORD00000070,GLD,sell,21.02158,120.14998044951192,-2525.742426017851,filled
2026-02-27,ORD00000071,TLT,buy,169.93886,104.15759207559302,17700.422457671313,filled
2026-03-02,ORD00000073,TLT,sell,634.546027,103.06511521099563,-65399.55937943454,filled
2026-03-02,ORD00000074,GLD,buy,3.799975,121.74105002223583,462.61294655824554,filled
2026-03-02,ORD00000075,SPY,buy,334.92983799999996,100.56863841690506,33683.43777285459,filled
2026-03-02,ORD00000077,XLE,buy,9.919008556956236,127.00058208998952,1259.7198604890289,partial
